cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,llm_calls,llm_tokens,search_calls,fetch_calls
2,34,27,7,52,28,24,1.0,0.8148148148148148,0.20588235294117646,0.8777777777777778,0.46153846153846156,0,jump,7,20339,18,12
3,37,28,9,52,25,27,1.0,0.7857142857142857,0.24324324324324326,0.8785714285714287,0.5192307692307693,1,jump,4,31245,9,6
4,42,29,13,52,20,32,1.0,0.7586206896551724,0.30952380952380953,0.8793103448275862,0.6153846153846154,2,jump,6,49668,15,10
5,47,29,18,52,15,37,1.0,0.7586206896551724,0.3829787234042553,0.8793103448275862,0.7115384615384616,2,jump,6,65090,15,10
6,51,29,22,62,21,41,1.0,0.7586206896551724,0.43137254901960786,0.8793103448275862,0.6612903225806451,2,jump,5,77583,12,8
7,59,30,29,75,26,49,1.0,0.7333333333333333,0.4915254237288136,0.8733333333333333,0.6533333333333333,3,jump,10,106439,27,18
8,68,31,37,91,33,58,1.0,0.7096774193548387,0.5441176470588235,0.8741935483870968,0.6373626373626373,4,jump,11,139565,30,20
9,72,31,41,91,29,62,1.0,0.7096774193548387,0.5694444444444444,0.8741935483870968,0.6813186813186813,4,jump,5,150874,12,8
10,76,31,45,91,25,66,1.0,0.7096774193548387,0.5921052631578947,0.8741935483870968,0.7252747252747253,4,jump,5,164904,12,8
11,85,31,54,94,19,75,1.0,0.7096774193548387,0.6352941176470588,0.8741935483870968,0.7978723404255319,4,jump,10,196559,27,18
