cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,27,27,0,52,40,12,1.0,0.5714285714285714,0.2222222222222222,0.8607619047619048,0.34285714285714286,0,normal,0.0,0,0,0,0
2,39,39,0,81,57,24,1.0,0.6764705882352942,0.1282051282051282,0.8574411764705882,0.3157894736842105,0,jump,0.0,0,0,0,0
3,47,47,0,91,57,34,1.0,0.717391304347826,0.02127659574468085,0.8676086956521738,0.37362637362637363,0,jump,0.0,0,0,0,0
4,61,61,0,91,43,48,1.0,0.7407407407407407,0.11475409836065574,0.8700555555555555,0.5274725274725275,0,jump,0.0,0,0,0,0
5,71,71,0,91,33,58,1.0,0.7761194029850746,0.056338028169014086,0.870268656716418,0.6373626373626373,0,jump,0.0,0,0,0,0
6,75,75,0,91,29,62,1.0,0.7972972972972973,0.013333333333333334,0.8742702702702703,0.6813186813186813,0,jump,0.0,0,0,0,0
7,90,90,0,100,29,71,1.0,0.7411764705882353,0.05555555555555555,0.8775764705882352,0.71,0,jump,0.0,0,0,0,0
8,94,94,0,102,27,75,1.0,0.7659574468085106,0.0,0.8782127659574467,0.7352941176470589,0,jump,0.0,0,0,0,0
9,94,94,0,102,27,75,1.0,0.7659574468085106,0.0,0.8782127659574467,0.7352941176470589,0,jump,0.0,0,0,0,0
10,97,97,0,104,26,78,1.0,0.7525773195876289,0.0,0.8765876288659793,0.75,0,jump,0.0,0,0,0,0
11,100,100,0,108,27,81,1.0,0.75,0.0,0.8742399999999999,0.75,0,jump,0.0,0,0,0,0
12,104,104,0,113,28,85,1.0,0.7450980392156863,0.019230769230769232,0.8732745098039215,0.7522123893805309,0,jump,0.0,0,0,0,0
13,107,107,0,115,27,88,1.0,0.7476635514018691,0.0,0.8762056074766356,0.7652173913043478,0,jump,0.0,0,0,0,0
14,112,112,0,121,28,93,1.0,0.7545454545454545,0.017857142857142856,0.8769272727272728,0.768595041322314,0,jump,0.0,0,0,0,0
15,116,116,0,123,26,97,1.0,0.7652173913043478,0.008620689655172414,0.8791739130434783,0.7886178861788617,0,jump,0.0,0,0,0,0
