cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,25,25,0,54,42,12,1.0,0.6956521739130435,0.08,0.8755652173913042,0.34285714285714286,0,normal,0.0,0,0,0,0
2,42,42,0,65,36,29,1.0,0.7575757575757576,0.21428571428571427,0.8812727272727273,0.4603174603174603,0,normal,0.0,0,0,0,0
3,46,46,0,71,37,34,1.0,0.8095238095238095,0.08695652173913043,0.8807619047619047,0.4788732394366197,0,jump,0.0,0,0,0,0
4,51,51,0,71,32,39,1.0,0.8431372549019608,0.0,0.8833921568627451,0.5492957746478874,0,jump,0.0,0,0,0,0
5,58,58,0,85,39,46,1.0,0.8363636363636363,0.05172413793103448,0.8865636363636363,0.5411764705882353,0,jump,0.0,0,0,0,0
6,63,63,0,86,34,52,1.0,0.8333333333333334,0.047619047619047616,0.8829999999999999,0.6046511627906976,0,jump,0.0,0,0,0,0
7,66,66,0,86,29,57,1.0,0.8571428571428571,0.045454545454545456,0.8880476190476191,0.6627906976744186,0,jump,0.0,0,0,0,0
8,83,83,0,100,33,67,1.0,0.75,0.08433734939759036,0.8946973684210526,0.67,0,jump,0.0,0,0,0,0
9,86,86,0,100,30,70,1.0,0.7619047619047619,0.023255813953488372,0.8910119047619047,0.7,0,jump,0.0,0,0,0,0
10,87,87,0,100,29,71,1.0,0.7586206896551724,0.0,0.8916666666666667,0.71,0,jump,0.0,0,0,0,0
11,88,88,0,101,29,72,1.0,0.7586206896551724,0.011363636363636364,0.8916666666666667,0.7128712871287128,0,jump,0.0,0,0,0,0
12,89,89,0,102,29,73,1.0,0.7613636363636364,0.011235955056179775,0.8923295454545456,0.7156862745098039,0,jump,0.0,0,0,0,0
13,95,95,0,107,28,79,1.0,0.7717391304347826,0.031578947368421054,0.8943152173913044,0.7383177570093458,0,jump,0.0,0,0,0,0
14,96,96,0,107,27,80,1.0,0.7789473684210526,0.010416666666666666,0.8950210526315789,0.7476635514018691,0,jump,0.0,0,0,0,0
15,97,97,0,108,27,81,1.0,0.7731958762886598,0.0,0.8892474226804125,0.75,0,jump,0.0,0,0,0,0
