cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,27,27,0,52,40,12,1.0,0.5833333333333334,0.1111111111111111,0.8605,0.34285714285714286,0,normal,0.0,0,0,0,0
2,39,39,0,81,57,24,1.0,0.6470588235294118,0.1282051282051282,0.8607647058823529,0.3157894736842105,0,jump,0.0,0,0,0,0
3,47,47,0,94,60,34,1.0,0.6888888888888889,0.0425531914893617,0.8684888888888889,0.3617021276595745,0,jump,0.0,0,0,0,0
4,57,57,0,94,50,44,1.0,0.6938775510204082,0.14035087719298245,0.873265306122449,0.46808510638297873,0,jump,0.0,0,0,0,0
5,65,65,0,94,42,52,1.0,0.75,0.07692307692307693,0.8628,0.5531914893617021,0,jump,0.0,0,0,0,0
6,72,72,0,94,35,59,1.0,0.7323943661971831,0.013888888888888888,0.8569014084507042,0.6276595744680851,0,jump,0.0,0,0,0,0
7,78,78,0,94,29,65,1.0,0.7564102564102564,0.0,0.8646282051282052,0.6914893617021277,0,jump,0.0,0,0,0,0
8,83,83,0,94,24,70,1.0,0.7682926829268293,0.012048192771084338,0.8662073170731707,0.7446808510638298,0,jump,0.0,0,0,0,0
9,87,87,0,96,22,74,1.0,0.7764705882352941,0.022988505747126436,0.8683411764705882,0.7708333333333334,0,jump,0.0,0,0,0,0
10,99,99,0,106,25,81,1.0,0.7291666666666666,0.030303030303030304,0.8506354166666666,0.7641509433962265,0,jump,0.0,0,0,0,0
11,101,101,0,108,24,84,1.0,0.73,0.009900990099009901,0.8512000000000001,0.7777777777777778,0,jump,0.0,0,0,0,0
12,103,103,0,110,24,86,1.0,0.7378640776699029,0.0,0.8536893203883494,0.7818181818181819,0,jump,0.0,0,0,0,0
13,105,105,0,111,23,88,1.0,0.7403846153846154,0.009523809523809525,0.8546153846153846,0.7927927927927928,0,jump,0.0,0,0,0,0
14,112,112,0,123,28,95,1.0,0.7431192660550459,0.026785714285714284,0.8543761467889908,0.7723577235772358,0,jump,0.0,0,0,0,0
15,114,114,0,123,26,97,1.0,0.7433628318584071,0.008771929824561403,0.851938053097345,0.7886178861788617,0,jump,0.0,0,0,0,0
