cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,32,32,0,51,40,11,1.0,0.4074074074074074,0.15625,0.8722592592592592,0.3142857142857143,0,normal,0.0,0,0,0,0
2,44,44,0,78,55,23,1.0,0.5641025641025641,0.11363636363636363,0.8607948717948718,0.30666666666666664,0,jump,0.0,0,0,0,0
3,52,52,0,85,54,31,1.0,0.66,0.038461538461538464,0.87902,0.36470588235294116,0,jump,0.0,0,0,0,0
4,61,61,0,86,46,40,1.0,0.6666666666666666,0.11475409836065574,0.8685925925925925,0.46511627906976744,0,jump,0.0,0,0,0,0
5,68,68,0,86,39,47,1.0,0.6984126984126984,0.07352941176470588,0.8598253968253968,0.5465116279069767,0,jump,0.0,0,0,0,0
6,78,78,0,87,30,57,1.0,0.75,0.02564102564102564,0.8612368421052631,0.6551724137931034,0,jump,0.0,0,0,0,0
7,83,83,0,87,25,62,1.0,0.7682926829268293,0.012048192771084338,0.8640975609756096,0.7126436781609196,0,jump,0.0,0,0,0,0
8,88,88,0,87,20,67,1.0,0.7790697674418605,0.022727272727272728,0.8651976744186046,0.7701149425287356,0,jump,0.0,0,0,0,0
9,92,92,0,92,21,71,1.0,0.782608695652174,0.0,0.8664673913043479,0.7717391304347826,0,jump,0.0,0,0,0,0
10,94,94,0,92,17,75,1.0,0.782608695652174,0.02127659574468085,0.8668695652173912,0.8152173913043478,0,jump,0.0,0,0,0,0
11,105,105,0,95,10,85,1.0,0.7821782178217822,0.0380952380952381,0.8676138613861386,0.8947368421052632,0,jump,0.0,0,0,0,0
12,108,108,0,98,10,88,1.0,0.7870370370370371,0.0,0.8632592592592593,0.8979591836734694,0,jump,0.0,0,0,0,0
13,112,112,0,100,6,94,1.0,0.8090909090909091,0.017857142857142856,0.8666909090909091,0.94,0,jump,0.0,0,0,0,0
14,123,123,0,100,2,98,1.0,0.7540983606557377,0.008130081300813009,0.8657622950819672,0.98,0,jump,0.0,0,0,0,0
15,124,124,0,100,1,99,1.0,0.7580645161290323,0.0,0.8671048387096775,0.99,0,jump,0.0,0,0,0,0
