cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,42,42,0,48,36,12,1.0,0.2857142857142857,0.16666666666666666,0.7705428571428571,0.34285714285714286,0,normal,0.0,0,0,0,0
2,50,50,0,71,51,20,1.0,0.46808510638297873,0.06,0.7986595744680851,0.30303030303030304,0,jump,0.0,0,0,0,0
3,57,57,0,81,52,29,1.0,0.5614035087719298,0.0,0.8152631578947368,0.35802469135802467,0,jump,0.0,0,0,0,0
4,64,64,0,81,45,36,1.0,0.5967741935483871,0.03125,0.816741935483871,0.4444444444444444,0,jump,0.0,0,0,0,0
5,71,71,0,81,38,43,1.0,0.6176470588235294,0.04225352112676056,0.8160294117647059,0.5308641975308642,0,jump,0.0,0,0,0,0
6,77,77,0,81,32,49,1.0,0.6438356164383562,0.05194805194805195,0.8206027397260274,0.6049382716049383,0,jump,0.0,0,0,0,0
7,81,81,0,81,28,53,1.0,0.6625,0.012345679012345678,0.8127375000000001,0.654320987654321,0,jump,0.0,0,0,0,0
8,85,85,0,81,24,57,1.0,0.6705882352941176,0.0,0.8163058823529411,0.7037037037037037,0,jump,0.0,0,0,0,0
9,89,89,0,83,22,61,1.0,0.6781609195402298,0.02247191011235955,0.8188275862068966,0.7349397590361446,0,jump,0.0,0,0,0,0
10,103,103,0,94,25,69,1.0,0.6428571428571429,0.04854368932038835,0.8217857142857142,0.7340425531914894,0,jump,0.0,0,0,0,0
11,105,105,0,95,23,72,1.0,0.6666666666666666,0.0,0.8248285714285715,0.7578947368421053,0,jump,0.0,0,0,0,0
12,108,108,0,95,20,75,1.0,0.6666666666666666,0.027777777777777776,0.8248285714285715,0.7894736842105263,0,jump,0.0,0,0,0,0
13,118,118,0,100,15,85,1.0,0.6814159292035398,0.0423728813559322,0.8261946902654868,0.85,0,jump,0.0,0,0,0,0
14,125,125,0,102,10,92,1.0,0.7073170731707317,0.016,0.829170731707317,0.9019607843137255,0,jump,0.0,0,0,0,0
15,127,127,0,102,7,95,1.0,0.7165354330708661,0.0,0.8296692913385827,0.9313725490196079,0,jump,0.0,0,0,0,0
