cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,25,25,0,54,42,12,1.0,0.6818181818181818,0.12,0.8737272727272728,0.34285714285714286,0,normal,0.0,0,0,0,0
2,34,34,0,83,62,21,1.0,0.6785714285714286,0.17647058823529413,0.8695357142857143,0.28378378378378377,0,jump,0.0,0,0,0,0
3,46,46,0,103,69,34,1.0,0.7631578947368421,0.17391304347826086,0.8611842105263158,0.3300970873786408,0,jump,0.0,0,0,0,0
4,57,57,0,103,58,45,1.0,0.7924528301886793,0.07017543859649122,0.8762075471698113,0.4368932038834951,0,jump,0.0,0,0,0,0
5,69,69,0,103,46,57,1.0,0.7666666666666667,0.13043478260869565,0.8676499999999999,0.5533980582524272,0,jump,0.0,0,0,0,0
6,81,81,0,103,34,69,1.0,0.7866666666666666,0.07407407407407407,0.8672266666666667,0.6699029126213593,0,jump,0.0,0,0,0,0
7,86,86,0,103,29,74,1.0,0.7976190476190477,0.023255813953488372,0.8646904761904762,0.7184466019417476,0,jump,0.0,0,0,0,0
8,116,116,0,121,38,83,1.0,0.6517857142857143,0.034482758620689655,0.8647678571428571,0.6859504132231405,0,jump,0.0,0,0,0,0
9,121,121,0,125,37,88,1.0,0.675,0.008264462809917356,0.8646083333333333,0.704,0,jump,0.0,0,0,0,0
10,126,126,0,130,37,93,1.0,0.656,0.007936507936507936,0.8612239999999999,0.7153846153846154,0,jump,0.0,0,0,0,0
11,131,131,0,133,35,98,1.0,0.65625,0.022900763358778626,0.8623671875,0.7368421052631579,0,jump,0.0,0,0,0,0
12,136,136,0,134,31,103,1.0,0.6567164179104478,0.014705882352941176,0.8628582089552239,0.7686567164179104,0,jump,0.0,0,0,0,0
13,140,140,0,134,27,107,1.0,0.6546762589928058,0.007142857142857143,0.8617482014388489,0.7985074626865671,0,jump,0.0,0,0,0,0
14,144,144,0,134,23,111,1.0,0.6433566433566433,0.006944444444444444,0.8603706293706294,0.8283582089552238,0,jump,0.0,0,0,0,0
15,152,152,0,136,17,119,1.0,0.6510067114093959,0.019736842105263157,0.8613825503355705,0.875,0,jump,0.0,0,0,0,0
