cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,23,23,0,56,46,10,1.0,0.65,0.13043478260869565,0.8833,0.2857142857142857,0,normal,0.0,0,0,0,0
2,29,29,0,86,70,16,1.0,0.7083333333333334,0.1724137931034483,0.8830833333333333,0.2191780821917808,0,jump,0.0,0,0,0,0
3,35,35,0,103,81,22,1.0,0.7096774193548387,0.11428571428571428,0.8801612903225806,0.2268041237113402,0,jump,0.0,0,0,0,0
4,40,40,0,114,87,27,1.0,0.7631578947368421,0.05,0.8599210526315789,0.24107142857142858,0,jump,0.0,0,0,0,0
5,45,45,0,117,85,32,1.0,0.7777777777777778,0.0,0.8643777777777777,0.27350427350427353,0,jump,0.0,0,0,0,0
6,50,50,0,117,80,37,1.0,0.7916666666666666,0.04,0.8647291666666667,0.3162393162393162,0,jump,0.0,0,0,0,0
7,53,53,0,117,77,40,1.0,0.8076923076923077,0.018867924528301886,0.8591923076923076,0.3418803418803419,0,jump,0.0,0,0,0,0
8,56,56,0,119,76,43,1.0,0.8,0.017857142857142856,0.8604545454545454,0.36134453781512604,0,jump,0.0,0,0,0,0
9,61,61,0,119,69,50,1.0,0.8070175438596491,0.06557377049180328,0.8657894736842106,0.42016806722689076,0,jump,0.0,0,0,0,0
10,63,63,0,119,67,52,1.0,0.8253968253968254,0.0,0.8647619047619047,0.4369747899159664,0,jump,0.0,0,0,0,0
11,86,86,0,144,85,59,1.0,0.6588235294117647,0.011627906976744186,0.870835294117647,0.4097222222222222,0,jump,0.0,0,0,0,0
12,96,96,0,151,82,69,1.0,0.6777777777777778,0.0625,0.8674555555555555,0.45695364238410596,0,jump,0.0,0,0,0,0
13,99,99,0,151,79,72,1.0,0.7040816326530612,0.010101010101010102,0.8685,0.4768211920529801,0,jump,0.0,0,0,0,0
14,102,102,0,151,76,75,1.0,0.7128712871287128,0.00980392156862745,0.867980198019802,0.4966887417218543,0,jump,0.0,0,0,0,0
15,105,105,0,151,73,78,1.0,0.7184466019417476,0.01904761904761905,0.8695728155339806,0.5165562913907285,0,jump,0.0,0,0,0,0
