cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,24,24,0,55,44,11,1.0,0.65,0.16666666666666666,0.8709999999999999,0.3142857142857143,0,normal,0.0,0,0,0,0
2,41,41,0,67,39,28,1.0,0.7272727272727273,0.1951219512195122,0.8619090909090908,0.4375,0,normal,0.0,0,0,0,0
3,46,46,0,74,40,34,1.0,0.7954545454545454,0.043478260869565216,0.8615681818181818,0.4594594594594595,0,jump,0.0,0,0,0,0
4,51,51,0,74,35,39,1.0,0.82,0.0196078431372549,0.8671800000000001,0.527027027027027,0,jump,0.0,0,0,0,0
5,57,57,0,81,36,45,1.0,0.8148148148148148,0.05263157894736842,0.8658518518518519,0.5555555555555556,0,jump,0.0,0,0,0,0
6,62,62,0,81,30,51,1.0,0.8448275862068966,0.06451612903225806,0.867103448275862,0.6296296296296297,0,jump,0.0,0,0,0,0
7,65,65,0,85,30,55,1.0,0.8571428571428571,0.03076923076923077,0.8741587301587301,0.6470588235294118,0,jump,0.0,0,0,0,0
8,77,77,0,92,27,65,1.0,0.8194444444444444,0.06493506493506493,0.8661388888888889,0.7065217391304348,0,jump,0.0,0,0,0,0
9,81,81,0,96,27,69,1.0,0.8,0.012345679012345678,0.8618124999999999,0.71875,0,jump,0.0,0,0,0,0
10,83,83,0,96,25,71,1.0,0.8170731707317073,0.012048192771084338,0.8635487804878048,0.7395833333333334,0,jump,0.0,0,0,0,0
11,83,83,0,96,23,73,1.0,0.8292682926829268,0.012048192771084338,0.8665975609756097,0.7604166666666666,0,jump,0.0,0,0,0,0
12,83,83,0,96,21,75,1.0,0.8536585365853658,0.012048192771084338,0.8694999999999999,0.78125,0,jump,0.0,0,0,0,0
13,84,84,0,96,20,76,1.0,0.8571428571428571,0.0,0.8706785714285714,0.7916666666666666,0,jump,0.0,0,0,0,0
14,85,85,0,96,19,77,1.0,0.8571428571428571,0.011764705882352941,0.8706785714285714,0.8020833333333334,0,jump,0.0,0,0,0,0
15,86,86,0,96,18,78,1.0,0.8604651162790697,0.0,0.8725232558139534,0.8125,0,jump,0.0,0,0,0,0
