cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,26,26,0,53,41,12,1.0,0.5217391304347826,0.11538461538461539,0.8676956521739131,0.34285714285714286,0,normal,0.0,0,0,0,0
2,35,35,0,82,61,21,1.0,0.5862068965517241,0.17142857142857143,0.8796206896551724,0.28378378378378377,0,jump,0.0,0,0,0,0
3,46,46,0,98,64,34,1.0,0.6976744186046512,0.06521739130434782,0.8756046511627906,0.3469387755102041,0,jump,0.0,0,0,0,0
4,62,62,0,98,48,50,1.0,0.75,0.16129032258064516,0.8766730769230768,0.5102040816326531,0,jump,0.0,0,0,0,0
5,74,74,0,98,36,62,1.0,0.7846153846153846,0.12162162162162163,0.8669384615384615,0.6326530612244898,0,jump,0.0,0,0,0,0
6,83,83,0,98,27,71,1.0,0.8271604938271605,0.024096385542168676,0.8611604938271605,0.7244897959183674,0,jump,0.0,0,0,0,0
7,87,87,0,99,24,75,1.0,0.8372093023255814,0.011494252873563218,0.8626046511627906,0.7575757575757576,0,jump,0.0,0,0,0,0
8,104,104,0,112,26,86,1.0,0.7821782178217822,0.028846153846153848,0.8515841584158417,0.7678571428571429,0,jump,0.0,0,0,0,0
9,107,107,0,113,23,90,1.0,0.8,0.018691588785046728,0.8528666666666667,0.7964601769911505,0,jump,0.0,0,0,0,0
10,113,113,0,121,25,96,1.0,0.8108108108108109,0.017699115044247787,0.8573783783783784,0.7933884297520661,0,jump,0.0,0,0,0,0
11,114,114,0,122,25,97,1.0,0.8141592920353983,0.008771929824561403,0.8575132743362832,0.7950819672131147,0,jump,0.0,0,0,0,0
12,115,115,0,123,25,98,1.0,0.808695652173913,0.0,0.8565130434782608,0.7967479674796748,0,jump,0.0,0,0,0,0
13,116,116,0,124,25,99,1.0,0.8103448275862069,0.0,0.8571465517241379,0.7983870967741935,0,jump,0.0,0,0,0,0
14,117,117,0,126,25,101,1.0,0.8103448275862069,0.008547008547008548,0.8552500000000001,0.8015873015873016,0,jump,0.0,0,0,0,0
15,119,119,0,128,25,103,1.0,0.8135593220338984,0.008403361344537815,0.8568559322033897,0.8046875,0,jump,0.0,0,0,0,0
