cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,27,27,0,52,40,12,1.0,0.52,0.07407407407407407,0.86664,0.34285714285714286,0,normal,0.0,0,0,0,0
2,35,35,0,78,58,20,1.0,0.5357142857142857,0.2,0.8648571428571429,0.2857142857142857,0,jump,0.0,0,0,0,0
3,45,45,0,96,64,32,1.0,0.6578947368421053,0.15555555555555556,0.8730526315789474,0.3333333333333333,0,jump,0.0,0,0,0,0
4,55,55,0,96,54,42,1.0,0.7,0.09090909090909091,0.8843,0.4375,0,jump,0.0,0,0,0,0
5,64,64,0,96,45,51,1.0,0.7288135593220338,0.078125,0.8817796610169492,0.53125,0,jump,0.0,0,0,0,0
6,70,70,0,96,39,57,1.0,0.7575757575757576,0.05714285714285714,0.8777878787878788,0.59375,0,jump,0.0,0,0,0,0
7,76,76,0,96,33,63,1.0,0.7432432432432432,0.02631578947368421,0.8681351351351352,0.65625,0,jump,0.0,0,0,0,0
8,92,92,0,102,28,74,1.0,0.6896551724137931,0.05434782608695652,0.8507241379310345,0.7254901960784313,0,jump,0.0,0,0,0,0
9,96,96,0,102,24,78,1.0,0.71875,0.0,0.85334375,0.7647058823529411,0,jump,0.0,0,0,0,0
10,103,103,0,104,19,85,1.0,0.7326732673267327,0.019417475728155338,0.8542970297029702,0.8173076923076923,0,jump,0.0,0,0,0,0
11,109,109,0,113,22,91,1.0,0.7407407407407407,0.009174311926605505,0.8564814814814815,0.8053097345132744,0,jump,0.0,0,0,0,0
12,114,114,0,119,22,97,1.0,0.7567567567567568,0.02631578947368421,0.8589549549549549,0.8151260504201681,0,jump,0.0,0,0,0,0
13,120,120,0,122,20,102,1.0,0.7542372881355932,0.016666666666666666,0.857771186440678,0.8360655737704918,0,jump,0.0,0,0,0,0
14,127,127,0,122,12,110,1.0,0.7619047619047619,0.007874015748031496,0.8603968253968254,0.9016393442622951,0,jump,0.0,0,0,0,0
15,130,130,0,122,9,113,1.0,0.7692307692307693,0.0,0.8623923076923077,0.9262295081967213,0,jump,0.0,0,0,0,0
