cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,31,31,0,51,40,11,1.0,0.4642857142857143,0.0967741935483871,0.8880714285714285,0.3142857142857143,0,normal,0.0,0,0,0,0
2,43,43,0,78,55,23,1.0,0.5833333333333334,0.16279069767441862,0.8883055555555556,0.30666666666666664,0,jump,0.0,0,0,0,0
3,53,53,0,83,50,33,1.0,0.673469387755102,0.07547169811320754,0.8851836734693878,0.39759036144578314,0,jump,0.0,0,0,0,0
4,61,61,0,86,45,41,1.0,0.6727272727272727,0.09836065573770492,0.8778181818181818,0.47674418604651164,0,jump,0.0,0,0,0,0
5,68,68,0,87,39,48,1.0,0.703125,0.058823529411764705,0.878796875,0.5517241379310345,0,jump,0.0,0,0,0,0
6,74,74,0,87,33,54,1.0,0.7183098591549296,0.04054054054054054,0.879887323943662,0.6206896551724138,0,jump,0.0,0,0,0,0
7,80,80,0,87,27,60,1.0,0.7402597402597403,0.0375,0.8788571428571428,0.6896551724137931,0,jump,0.0,0,0,0,0
8,109,109,0,104,35,69,1.0,0.5943396226415094,0.027522935779816515,0.8745471698113207,0.6634615384615384,0,jump,0.0,0,0,0,0
9,123,123,0,114,31,83,1.0,0.6050420168067226,0.032520325203252036,0.8736134453781512,0.7280701754385965,0,jump,0.0,0,0,0,0
10,126,126,0,114,28,86,1.0,0.6111111111111112,0.0,0.8744920634920634,0.7543859649122807,0,jump,0.0,0,0,0,0
11,128,128,0,114,26,88,1.0,0.6062992125984252,0.0078125,0.8746929133858268,0.7719298245614035,0,jump,0.0,0,0,0,0
12,130,130,0,114,24,90,1.0,0.6153846153846154,0.0,0.8760307692307693,0.7894736842105263,0,jump,0.0,0,0,0,0
13,139,139,0,116,21,95,1.0,0.5912408759124088,0.014388489208633094,0.8730948905109489,0.8189655172413793,0,jump,0.0,0,0,0,0
14,141,141,0,117,20,97,1.0,0.6,0.0070921985815602835,0.8743571428571428,0.8290598290598291,0,jump,0.0,0,0,0,0
15,147,147,0,117,14,103,1.0,0.6041666666666666,0.02040816326530612,0.8716111111111111,0.8803418803418803,0,jump,0.0,0,0,0,0
