cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,26,26,0,35,26,9,1.0,0.47619047619047616,0.19230769230769232,0.8537142857142858,0.2571428571428571,0,normal,0.0,0,0,0,0
2,82,82,0,37,2,35,1.0,0.37142857142857144,0.14634146341463414,0.8429142857142857,0.9459459459459459,0,jump,0.0,0,0,0,0
3,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
4,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
5,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
6,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
7,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
8,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
9,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
10,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
11,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
12,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
13,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
14,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
15,82,82,0,37,0,37,1.0,0.4634146341463415,0.0,0.8467560975609756,1.0,0,jump,0.0,0,0,0,0
