cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,collect_failure_rate,llm_calls,llm_tokens,search_calls,fetch_calls
1,35,35,0,50,38,12,1.0,0.41935483870967744,0.11428571428571428,0.8737419354838709,0.34285714285714286,0,normal,0.0,0,0,0,0
2,46,46,0,77,54,23,1.0,0.5909090909090909,0.043478260869565216,0.8704090909090909,0.3150684931506849,0,jump,0.0,0,0,0,0
3,54,54,0,84,52,32,1.0,0.6346153846153846,0.037037037037037035,0.8803461538461538,0.38095238095238093,0,jump,0.0,0,0,0,0
4,67,67,0,84,39,45,1.0,0.6666666666666666,0.1044776119402985,0.8723166666666666,0.5357142857142857,0,jump,0.0,0,0,0,0
5,73,73,0,84,33,51,1.0,0.6901408450704225,0.0273972602739726,0.8695070422535212,0.6071428571428571,0,jump,0.0,0,0,0,0
6,82,82,0,84,24,60,1.0,0.7088607594936709,0.036585365853658534,0.8693037974683544,0.7142857142857143,0,jump,0.0,0,0,0,0
7,97,97,0,94,26,68,1.0,0.6521739130434783,0.05154639175257732,0.8577717391304347,0.723404255319149,0,jump,0.0,0,0,0,0
8,100,100,0,96,24,72,1.0,0.6836734693877551,0.02,0.8583163265306122,0.75,0,jump,0.0,0,0,0,0
9,103,103,0,96,21,75,1.0,0.6764705882352942,0.009708737864077669,0.8584803921568627,0.78125,0,jump,0.0,0,0,0,0
10,104,104,0,96,20,76,1.0,0.6796116504854369,0.009615384615384616,0.8588834951456311,0.7916666666666666,0,jump,0.0,0,0,0,0
11,104,104,0,96,20,76,1.0,0.6826923076923077,0.0,0.8597596153846153,0.7916666666666666,0,jump,0.0,0,0,0,0
12,104,104,0,96,20,76,1.0,0.6826923076923077,0.0,0.8597596153846153,0.7916666666666666,0,jump,0.0,0,0,0,0
13,104,104,0,96,20,76,1.0,0.6826923076923077,0.0,0.8597596153846153,0.7916666666666666,0,jump,0.0,0,0,0,0
14,105,105,0,96,19,77,1.0,0.6761904761904762,0.0,0.8582380952380952,0.8020833333333334,0,jump,0.0,0,0,0,0
15,106,106,0,96,18,78,1.0,0.6761904761904762,0.009433962264150943,0.8582380952380952,0.8125,0,jump,0.0,0,0,0,0
